Lutadores;BackGround
Logan Clark;MMA
Lorenz Larkin;Boxing
Louis Gaudinot;Karate
Louis Smolka;Judo
Lucas Martins;Muay Thai
Luigi Fioravanti;Boxing
Luiz Cane;Muay Thai
Luke Barnatt;Wrestling
Luke Cummo;Muay Thai
Luke Rockhold;Kickboxing
Luke Sanders;Wrestling
Luke Zachrich;Brazilian Jiu Jitsu
Lyman Good;MMA
Lyoto Machida;Karate
Mac Danzig;Boxing
Mackens Semerzier;Brazilian Jiu Jitsu
Magnus Cedenblad;MMA
Magomed Mustafaev;Wrestling
Maiquel Falcao;Brazilian Jiu Jitsu
Mairbek Taisumov;Muay Thai
Makwan Amirkhani;Muay Thai
Manny Gamburyan;Judo
Marcelo Guimaraes;Brazilian Jiu Jitsu
Marcelo Mello;MMA
Marcio Cruz;Brazilian Jiu Jitsu
Marco Beltran;Brazilian Jiu Jitsu
Marco Polo Reyes;Muay Thai
Marco Ruas;Brazilian Jiu Jitsu
Marcos Rogerio de Lima;Brazilian Jiu Jitsu
Marcos Vinicius Borges Pancini;Muay Thai
Marcus Aurelio;Brazilian Jiu Jitsu
Marcus Bossett;Brazilian Jiu Jitsu
Marcus Brimage;Muay Thai
Marcus Davis;Karate
Marcus LeVesseur;Wrestling
Mario Miranda;Brazilian Jiu Jitsu
Marion Reneau;Brazilian Jiu Jitsu
Mark Bocek;Brazilian Jiu Jitsu
Mark Coleman;Wrestling
Mark Eddiva;MMA
Mark Hall;Karate
Mark Hominick;Kickboxing
Mark Hughes;Brazilian Jiu Jitsu
Mark Hunt;Boxing
Mark Kerr;Wrestling
Mark Munoz;Wrestling
Mark Schultz;Wrestling
Mark Weir;Taekwondo
Marlon Vera;Brazilian Jiu Jitsu
Martin Kampmann;Muay Thai
Marvin Eastman;Muay Thai
Maryna Moroz;Boxing
Masanori Kanehara;Brazilian Jiu Jitsu
Masio Fullen;MMA
Matheus Nicolau Pereira;Brazilian Jiu Jitsu
Matt Arroyo;Brazilian Jiu Jitsu
Matt Brown;Judo
Matt Dwyer;Brazilian Jiu Jitsu
Matt Grice;Wrestling
Matt Hamill;Wrestling
Matt Hobar;MMA
Matt Hughes;Wrestling
Matt Lindland;Wrestling
Matt Mitrione;Karate
Matt Riddle;Wrestling
Matt Serra;Kung Fu
Matt Veach;Wrestling
Matt Wiman;MMA
Maurice Smith;Kickboxing
Mauricio Rua;Muay Thai
Max Holloway;Kickboxing
Maximo Blanco;Taekwondo
Melvin Guillard;Wrestling
Michael Bisping;Brazilian Jiu Jitsu
Michael Chiesa;Boxing
Michael Graves;Wrestling
Michael Guymon;Muay Thai
Michael Johnson;Wrestling
Michael Kuiper;Judo
Michael McDonald;Kickboxing
Michel Richard Cunha dos Prazeres;Brazilian Jiu Jitsu
Michelle Waterson;Karate
Michihiro Omigawa;Judo
Michinori Tanaka;Judo
Mickael Lebout;MMA
Mickey Gall;Boxing
Miesha Tate;Wrestling
Miguel Torres;Brazilian Jiu Jitsu
Mike Ciesnolevicz;MMA
Mike de la Torre;MMA
Mike Easton;Taekwondo
Mike Kyle;Kickboxing
Mike Massenzio;MMA
Mike Nickels;MMA
Mike Pierce;MMA
Mike Pyle;Wrestling
Mike Ricci;Kickboxing
Mike Rio;Wrestling
Mike Russow;Wrestling
Mike Swick;MMA
Mike Thomas Brown;Brazilian Jiu Jitsu
Mike Van Arsdale;Wrestling
